event_id,japones,es_final,estado
32021800,一回戦！フロンティアスタジアムへ出発だ！,¡Dirígete al estadio Fútbol Frontier!,revisar
32021850,？？？？,???,revisar
32021850,開会式の準備だ！控え室に行こう！,¡Prepárate para la ceremonia en el vestuario!,revisar
32021900,試合だ！準備ができたらアキに話しかけよう,¡Habla con Silvia cuando estés preparado!,oficial
32022000,？？？？,???,oficial
32022000,？？？？,???,oficial
32030100,虎丸の行き先は「虎ノ屋」？行ってみよう！,¡Ve a buscar a Austin!,oficial
32030200,？？？？,???,revisar
32030200,「虎ノ屋」はこの先？行ってみよう！,¡Ve a Casa Hobbes!,revisar
32030300,出前だ！商店街の奥のスポーツショップへ！,,sin_pareja
32030400,２人は何を…？空き地まで追いかけよう！,,sin_pareja
32030500,出前終了！！虎ノ屋へ帰ろう！,,sin_pareja
32030600,カタールにくわしい人と　合宿所へ！,,sin_pareja
32030700,特訓だ！グラウンドで走りまくろう！！,,sin_pareja
32030800,ヒロトと緑川は何を…？部室の方へ！,,sin_pareja
32030900,カタール戦だ！控え室に行って準備しよう！,¡Ve a los vestuarios a cambiarte!,oficial
32031000,カタール戦だ！控え室に行って準備しよう！,¡Ve a los vestuarios a cambiarte!,memoria
32031100,アジア予選二回戦！！アキに声をかけよう！,¡Habla con Silvia cuando estéis listos!,revisar
32040100,？？？？,???,revisar
32040100,？？？？,???,revisar
32040100,？？？？,???,revisar
32040100,？？？？,???,revisar
32040100,？？？？,???,revisar
32040100,準備ができたら　アキに声をかけよう！,,sin_pareja
32040200,響木のお願い…？商店街の空き地へ行こう,,sin_pareja
32040300,飛鷹！サッカーやろうぜ！！,,sin_pareja
32040400,決戦だ！！砂木沼に声をかけよう！,,sin_pareja
32040500,日本代表の座をとりもどせ！再挑戦だ！！,¡Reta al Neo Japón a otro partido!,oficial
32040550,？？？？,2D_423,oficial
32040550,？？？？,???,revisar
32040550,？？？？,???,revisar
32040550,？？？？,???,revisar
32040550,？？？？,???,revisar
32040550,？？？？,???,revisar
32040550,？？？？,???,revisar
32040550,？？？？,???,revisar
32040550,協力技の特訓だ！！アキに声をかけよう！,¡Habla con Silvia y mejora tus supertécnicas!,revisar
32040600,正義の鉄拳を超える技？鉄塔で特訓だ！,,sin_pareja
32040700,ずぶぬれだ！！家に帰って着替えなきゃ！,¡Vuelve a casa para cambiarte de ropa!,oficial
32040800,腹ペコだ……合宿所の食堂へ行こう！,¡Ve a cenar a la cafetería de la residencia!,oficial
32040900,響木監督は何か知っている…？雷雷軒へ！,,sin_pareja
32041000,冬花のようすを見に　病院へ行こう！,,sin_pareja
32041100,監督が呼んでる！雷門の体育館前へ行こう！,¡Ve al gimnasio del Raimon para entrenar!,oficial
32041200,特訓が終わったら　アキに声をかけよう！,¡Habla con Silvia cuando hayáis acabado!,revisar
32041300,キャラバンの古株さんに声をかけよう！,,sin_pareja
32041400,予選決勝だ！！フロンティアスタジアムへ！,,sin_pareja
32041500,？？？？,???,revisar
32041550,バーン？,¿Torch?,oficial
32041550,アフロ？,¿Aphrodite?,oficial
32041550,ガゼル？,¿Gazelle?,oficial
32041550,バーン？,¿Torch?,oficial
32041550,アフロ？,¿Aphrodite?,oficial
32041550,アフロ？,¿Aphrodite?,oficial
32041550,ガゼル？,¿Gazelle?,oficial
32041550,予選決勝だ！！アキに声をかけよう！,¡Habla con Silvia cuando estéis listos!,oficial
32041600,ついに旅立ち！！空港へ行こう！,¡El Avión Inazuma espera! ¡Ve al aeropuerto!,oficial
32041650,ミスターＫ,Mr. D,oficial
32041650,？？？？,???,oficial
32041650,ミスターＫ,Mr. D,oficial
32041650,？？？？,???,oficial
32041650,ミスターＫ,Mr. D,oficial
32041650,？？？？,???,oficial
32041650,ミスターＫ,Mr. D,oficial
32050100,ついに来た！！ライオコット島を見学だ！,"¡Explora Liocott, la Isla del Fútbol!",revisar
32050200,ドロボウだ…！逃げた男を捕まえよう！,¡Al ladrón! ¡Atrapa al carterista!,revisar
32050300,？？？？,???,revisar
32050300,？？？？,???,revisar
32050300,日本街にある　宿舎へ行こう！,¡Ve a visitar el albergue del área de Japón!,revisar
32050350,日本街にある　宿舎へ行こう！,,sin_pareja
32050400,特訓だ！！日本街グラウンドへ行こう！,,sin_pareja
32050500,練習が終わったら　春奈に声をかけよう！,¡Habla con Celia cuando hayáis acabado!,oficial
32050600,？？？？,???,oficial
32050600,？？？？,???,oficial
32050600,？？？？,???,oficial
32050600,？？？？,???,oficial
32050600,？？？？,???,oficial
32050600,？？？？,???,oficial
32050600,？？？？,???,oficial
32050600,？？？？,???,oficial
32050600,特訓が終わったら　宿舎へ戻ろう！,¡Entrena por tu cuenta y vuelve al albergue!,oficial
32050700,開会式だ！！タイタニックスタジアムへ！,¡Ve al estadio Monumental!,revisar
32050750,開会式だ！！タイタニックスタジアムへ！,¡Ve al estadio Monumental!,revisar
32050800,？？？？,???,oficial
32050800,？？？？,???,oficial
32050800,？？？？,???,oficial
32050800,？？？？,???,oficial
32050800,初戦の相手は…！？響木に聞こう！,¡Pregúntale a Hillman contra quién jugáis!,oficial
32050900,パーティの準備だ！イギリス街へ行こう！,,sin_pareja
32051000,究極の選択…！？誰を選ぶの？？,,sin_pareja
32051100,イギリス街の　北にあるお店をめざそう！,,sin_pareja
32051110,イギリス街の　北にあるお店をめざそう！,,sin_pareja
32051120,イギリス街の　北にあるお店をめざそう！,,sin_pareja
32051130,イギリス街の　北にあるお店をめざそう！,,sin_pareja
32051200,パーティまで特訓だ！日本街グラウンドへ！,¡Ve al área de Japón a entrenar!,oficial
32051300,パーティまで特訓だ！日本街グラウンドへ！,¡Ve al área de Japón a entrenar!,oficial
32051300,円堂くん　もう少し街を見てまわろうよ！,¡Demos una vuelta por el área de Inglaterra!,oficial
32051300,キャプテン！もうちょっと見学しましょ！,"¡Venga, Mark! ¡Vamos a investigar un poco!",oficial
32051300,マモルくん　他の場所にも行ってみない…？,¿Y si damos una vuelta por el área?,oficial
32051300,キャプテン！まだ見たいとこあるッス～！,"¡Capitán, vamos! ¡Aquí hay mucho que ver!",oficial
32051400,パーティまで特訓だ！日本街グラウンドへ！,¡Ve al área de Japón a entrenar!,oficial
32051500,？？？？,???,revisar
32051500,？？？？,???,revisar
32051500,？？？？,???,revisar
32051500,？？？？,???,revisar
32051500,？？？？,???,revisar
32051500,？？？？,???,revisar
32051500,？？？？,???,revisar
32051550,遅刻だ…！パーティ会場へ急げっ！！,¡Llegas tarde! ¡Ve a la fiesta del área inglesa!,revisar
32051600,さあ　パーティを楽しんでいってください,,sin_pareja
32051700,さあ　橋の上で待っていますよ,,sin_pareja
32051800,パーティ終了！！宿舎へ戻ろう！,,sin_pareja
32051900,地下修練場だ！日本街の西エリアへ行こう！,¡Ve al centro de entrenamiento al oeste!,revisar
32052000,新しい修練場！？さっそく入ってみよう！,¡Prueba el nuevo centro de entrenamiento!,oficial
32052100,？？？？,？？？？,oficial
32052100,？？？？,？？？？,oficial
32052100,？？？？,？？？？,oficial
32052100,？？？？,？？？？,oficial
32052100,？？？？,？？？？,oficial
32052100,？？？？,？？？？,oficial
32052100,特訓が終わったら　宿舎に戻ろう！,¡Vuelve al albergue cuando termines!,memoria
32052200,決戦！ウミヘビスタジアム！港へ向かおう！,¡Rumbo a Isla Hidra! ¡Ve al puerto!,revisar
32052250,決戦だ！ウミヘビスタジアムへ！,¡Llegó la hora! ¡Ve al estadio Hidra!,revisar
32052270,決戦だ！ウミヘビスタジアムへ！,,sin_pareja
32052300,決戦！ナイツオブクィーン！！,¡Enfréntate al equipo de Inglaterra!,revisar
32052400,？？？？,???,oficial
32052400,？？？？,???,oficial
32052400,？？？？,???,oficial
32052400,？？？？,???,oficial
32052400,？？？？,???,oficial
32060100,さあ特訓だ！日本街のグラウンドに戻ろう！,,sin_pareja
32060200,練習が一段落したら　宿舎へ行こう！,¡Ve a ver qué quiere el detective Smith!,oficial
32060300,影山は生きている！？アルゼンチン街へ！！,,sin_pareja
32060400,イタリア代表に会って　話を聞こう！,,sin_pareja
32060500,情報屋をさがして　話を聞こう！,"¡Busca al ""hombre bien informado""!",oficial
32060600,話を聞きたきゃ　合言葉を言ってみな…,"¡Averigua cuáles son las ""palabras mágicas""!",oficial
32060700,情報屋に会いに　秘宝堂へ行こう！,,sin_pareja
32060800,ひとまず　日本街の宿舎へ帰ろう,,sin_pareja
32060900,さあ特訓だ！グラウンドに集合！！,,sin_pareja
32061000,手紙の主は？セントラルパークに向かおう！,,sin_pareja
32061100,？？？？,???,revisar
32061100,フィディオたちが気になる…港へ行こう,,sin_pareja
32061200,フィディオたちといっしょに宿舎へ帰ろう！,¡Vuelve al albergue con los italianos!,revisar
32061300,鬼道はアルゼンチン街に…？気になるな…,,sin_pareja
32061400,これもひとつの友情…？宿舎へ帰ろう！,,sin_pareja
32061500,決戦だ！イタリア街グラウンドへ向かえ！,,sin_pareja
32061600,影山と決戦！チームＫは目の前だ！！,,sin_pareja
32061650,？？？？,???,revisar
32061650,さあ　勝負を始めようじゃないか！,,sin_pareja
32061730,？？？？,???,revisar
32061730,アルゼンチン戦だ！ヤマネコスタジアムへ！,¡Ve al estadio Gato Montés!,revisar
32061750,決戦…！？準備ができたらアキに伝えよう…,,sin_pareja
32061800,？？？？,???,oficial
32061800,？？？？,???,oficial
32061850,？？？？,???,revisar
32061850,？？？？,???,revisar
32061850,？？？？,???,revisar
32061850,？？？？,???,revisar
32061850,？？？？,???,revisar
32061850,？？？？,???,revisar
32061850,？？？？,???,revisar
32061850,？？？？,???,revisar
32061850,？？？？,???,revisar
32061850,？？？？,???,revisar
32070100,練習だ！日本街グラウンドへ行こう！,¡Vuelve al área de Japón para entrenar!,oficial
32070200,冬花のお見舞いに　ライオコット病院へ！,¡Ve a visitar a Cammy al hospital!,oficial
32070300,アキはどこ？病院の人に話を聞いてみよう！,¿Adónde ha ido Silvia? ¡Pregunta por ahí!,revisar
32070400,アキはどこ？アメリカ街へ行ってみよう！,,sin_pareja
32070500,アキはどこ？アメリカ街でさがそう！,,sin_pareja
32070600,アキはどこ？アメリカ街でさがそう！,¿Dónde se ha metido Silvia? ¡Ve a buscarla!,revisar
32070700,練習再開！日本街のグラウンドへ戻ろう！,¡Vuelve al área de Japón para entrenar!,revisar
32070800,様子が変…？アキに声をかけてみよう,,sin_pareja
32070900,これで最後だ！宿舎へ荷物を運ぶぞ！,,sin_pareja
32070950,ライオコット港から　クジャク島へ出発だ！,,sin_pareja
32071000,クジャク島へ行こう！,¡Ve a la Isla del Pavo Real!,revisar
32071000,一之瀬と決戦だ！クジャクスタジアムへ！,¡Ve al estadio Pavo Real!,revisar
32071050,一之瀬と決戦だ！クジャクスタジアムへ！,,sin_pareja
32071100,一之瀬と決戦だ！！アキに声をかけよう！,¡Habla con Silvia cuando estéis listos!,revisar
32071250,？？？？,???,revisar
32071250,冬花が苦しんでいる！？病院へ急げ！！,¡Cammy quiere veros! ¡Ve al hospital!,revisar
32071300,誰かが襲われている！？病院の外へ急げ！！,,sin_pareja
32071400,もう一度病室に戻って　冬花の話を聞こう,,sin_pareja
32071400,鬼瓦刑事を助けなきゃ！　もう一度だ！！,,sin_pareja
32071500,マモルくん　外でお話できないかな？,,sin_pareja
32080100,勝つのはどっち！？ウミヘビスタジアムへ！,,sin_pareja
32080280,鬼瓦刑事は何を…？追いかけてみよう…！,,sin_pareja
32080310,ひ孫？？クジャクスタジアムへ！,¡¿Bisnieto?! ¡Ve al estadio Pavo Real!,oficial
32080330,オーガとバトルだ！裏山へ！！,¡Ve al cerro Arcano a enfrentarte al Ogro!,oficial
32080350,オーガと試合だ！準備をしよう！,¡Prepárate para enfrentarte al Ogro!,oficial
32080400,コトアール…？タイタニックスタジアムへ！,¡Ve al Monumental para la rueda de prensa!,revisar
32080500,周りがさわがしいぞ…どうかしたのかな？,,sin_pareja
32080600,赤キャップのおじさん？さがしてみよう！,,sin_pareja
32080700,？？？？,???,revisar
32080700,？？？？,???,revisar
32080700,？？？？,???,revisar
32080700,？？？？,???,revisar
32080700,？？？？,???,revisar
32080700,？？？？,???,revisar
32080700,？？？？,???,revisar
32080700,？？？？,???,revisar
32080700,？？？？,???,revisar
32080700,午後からの練習だ！急いで戻らなきゃ！,¡Vuelve al área de Japón para entrenar!,revisar
32080800,コンドルスタジアムへ出発！！港へ行こう！,¡Rumbo a Isla Cóndor! ¡Ve al puerto!,revisar
32080900,コンドル島へ行こう！,¡Ve a Isla Cóndor!,revisar
32080900,フィディオと決戦！コンドルスタジアムへ！,¡Ve al estadio Cóndor a medirte con Italia!,revisar
32081000,イタリア戦！準備をしたら春奈に伝えよう！,,sin_pareja
32081150,？？？？,???,oficial
32081150,最後のノートだ！ライオコット空港へ！！,¡El cuaderno definitivo!... ¡Ve al aeropuerto!,oficial
32081200,誰が待っている？宿舎でノートを見よう！,¡Vuelve al albergue y lee el cuaderno!,revisar
32081250,誰が待っている？宿舎でノートを見よう！,,sin_pareja
32090100,？？？？,???,revisar
32090100,？？？？,???,revisar
32090100,話がある…宿舎で待っているよ…,,sin_pareja
32090200,？？？？,???,revisar
32090200,？？？？,???,revisar
32090200,？？？？,???,revisar
32090200,？？？？,???,revisar
32090200,？？？？,???,revisar
32090200,？？？？,???,revisar
32090200,？？？？,???,revisar
32090200,？？？？,???,revisar
32090200,？？？？,???,revisar
32090200,？？？？,???,revisar
32090200,？？？？,???,revisar
32090200,ロニージョに何が…？ブラジル街へ急げ！,¡Busca a Mac Robingo en el área de Brasil!,revisar
32090300,ロニージョ…なぜあんなことを？,,sin_pareja
32090400,ガルシルド邸で　悪事の証拠を見つけよう！,¡Busca pruebas en la mansión de Zoolan!,oficial
32090550,バトルだ！悪事の証拠を取り返せ！,¡Recupera las pruebas!,revisar
32090600,？？？？,???,revisar
32090600,急げ！！ガルシルド邸から脱出だ！,¡Deprisa! ¡Escapa de la mansión!,revisar
32090600,悪事の証拠は奪われたままだ！取り返せ！,¡Recupera las pruebas!,revisar
32090700,？？？？,???,revisar
32090700,？？？？,???,revisar
32090700,どんな悪事の証拠が…？宿舎で確認だ！,,sin_pareja
32090800,絶対勝つぞ！！グラウンドで練習だ！,,sin_pareja
32090900,響木監督が倒れた！？病院へ急げ！,¡Hillman está enfermo! ¡Ve al hospital!,revisar
32091000,鬼瓦にデータを！まずは港へ急げ！,,sin_pareja
32091100,ウミガメ島へ行こう！,¡Ve a la Isla de la Tortuga Marina!,revisar
32091100,鬼瓦に　悪事の証拠をわたそう！,¡Entrégale las pruebas al detective Smith!,revisar
32091200,準決勝だ！ウミガメスタジアムを目指せ！,,sin_pareja
32091250,準決勝だ！ウミガメスタジアムを目指せ！,,sin_pareja
32091300,いよいよ準決勝！気を引きしめて整列だ！,,sin_pareja
32091400,もう１つの証拠…？ロココをさがせ！,¿Hay más pruebas?... ¡Busca a Hector!,revisar
32091500,スタジアムの鬼瓦刑事に　証拠を届けよう！,,sin_pareja
32091550,準決勝だ！準備ができたら冬花に伝えよう！,¡Habla con Cammy cuando estéis listos!,revisar
32091650,誰が鬼瓦さんを！？急いで病院へ！,,sin_pareja
32091700,今は…鬼瓦さんを見舞いに行こう…,¡Ve a ver al detective Smith!,revisar
32099200,？？？？,???,revisar
32100100,？？？？,???,revisar
32100100,？？？？,???,revisar
32100100,？？？？,???,revisar
32100100,？？？？,???,revisar
32100100,？？？？,???,revisar
32100100,？？？？,???,revisar
32100100,コトアール街がおそわれている！！急げ！,¡Atacan el área de Costail! ¡Deprisa! ¡Ve allí!,revisar
32100200,？？？？,???,revisar
32100200,？？？？,???,revisar
32100200,街をまわって　みんなを助けよう！,,sin_pareja
32100300,？？？？,???,revisar
32100300,？？？？,???,revisar
32100300,？？？？,???,revisar
32100300,？？？？,???,revisar
32100300,チーム・ガルシルドを追え！ブラジル街へ！,¡Ve al área de Brasil!,revisar
32100400,きどう？,¿Jude?,revisar
32100400,きどう？,¿Jude?,revisar
32100500,アフロ？,¿Aphrodite?,oficial
32100500,アフロ？,¿Aphrodite?,oficial
32100600,グラン？,¿Xene?,revisar
32100600,グラン？,¿Xene?,revisar
32100700,かげやま？,¿Dark?,revisar
32100700,ゆうか？,¿Julia?,revisar
32100700,アツヤ？,¿Aiden?,revisar
32100700,スズメ？,¿Finch?,revisar
32100700,たえ？,¿Sra. Hob.?,revisar
32100700,？？？？,???,revisar
32100700,だいすけ？,¿David?,revisar
32100700,？？？？,???,revisar
32100700,？？？？,???,revisar
32100700,？？？？,???,revisar
32100700,？？？？,???,revisar
32100700,決着のとき！ガルシルドの野望を打ち砕け！,¡Habla con Nelly cuando estéis listos!,revisar
32100800,再戦だ！ガルシルドの野望を打ち砕け！,,sin_pareja
32100870,２人の手術は成功したのか…？病院へ！！,¡Ve a visitar a Hillman y a Smith al hospital!,revisar
32100900,待ってくれ　じいちゃん…！,,sin_pareja
32101000,強力な技？コトアールの人に聞いてみよう！,¡Habla con la gente del área de Costail!,revisar
32101050,ダイスケ？,¿Dave?,oficial
32101050,円堂？,¿Mark?,oficial
32101050,ダイスケ？,¿Dave?,oficial
32101050,ダイスケ？,¿Dave?,oficial
32101050,ダイスケ？,¿Dave?,oficial
32101050,ダイスケ？,¿Dave?,oficial
32101050,ダイスケ？,¿Dave?,oficial
32101100,エンドウ・マモル　コトアール街で待ってる,,sin_pareja
32101200,誰のところへ行こうか…,¡Elige con quién quieres charlar!,revisar
32101300,そろそろ集合時間だ！宿舎へ行こう！！,,sin_pareja
32101300,そろそろ集合時間だ！宿舎へ行こう！！,,sin_pareja
32101300,そろそろ集合時間だ！宿舎へ行こう！！,,sin_pareja
32101400,ついに決勝戦！タイタニックスタジアムへ！,¡La final! ¡Ve al estadio Monumental!,revisar
32101500,オレたちは世界一になる！！さあ！決戦だ！,¡Demostrad al mundo lo que valéis!,revisar
32108200,伝説の秘伝書は　天高き塔に眠る…？,,sin_pareja
32110100,さあ　これが最終決戦だ！,¡Muy bien! ¡Juega la final del torneo!,oficial
32112000,カノンはどこに？さがしてみよう！,¿Dónde está Canon? ¡Ve a buscarlo!,oficial
32112050,キラード博士に会いに行こう！,¡Busca al profesor Killard!,revisar
32112100,カギをさがしに　カノンの家へ！,¡Ve a la casa de Canon a por la llave!,oficial
32112200,カノンは無事か！？オーガスタジアムへ！,¡Ve al estadio del Ogro a salvar a Canon!,revisar
32112300,真・オーガ！？試合の準備をしよう！,¡Enfréntate al Ogro Redux!,oficial
32112400,さあ　これが最終決戦だ！,¡Muy bien! ¡Juega la final del torneo!,oficial
32120100,？？？？,???,oficial
32120100,？？？？,???,oficial
32120100,？？？？,???,oficial
32120100,？？？？,???,oficial
32120100,入団テストだ！がんばるぞー！,¡Entrénate para pasar las pruebas!,oficial
32120200,？？？？,???,oficial
32120200,？？？？,???,oficial
32120200,？？？？,???,oficial
32120200,入団テストだ！がんばるぞ！,¡Entrénate para pasar las pruebas!,oficial
32120300,？？？？,???,oficial
32120300,？？？？,???,oficial
32120300,？？？？,???,oficial
32120300,？？？？,???,oficial
32120300,いよいよテストだ！がんばるぞ！,¡Llegó el momento! ¡Pasa las pruebas!,oficial
32120400,？？？？,???,oficial
32120400,？？？？,???,oficial
32120400,？？？？,???,oficial
32120400,？？？？,???,oficial
32120400,？？？？,???,oficial
32120400,？？？？,???,oficial
32120400,？？？？,???,oficial
32129000,？？？？,???,oficial
32500100,大変だ！！女の子を助けよう！,,sin_pareja
32500110,？？？？,???,revisar
32500110,？？？？,???,revisar
32500120,特訓だ！！雷門グラウンドへ行こう！,¡Ve al campo del Raimon para entrenar!,memoria
32500120,特訓だ！！河川敷へ行こう！,¡Ve a la ribera del río para entrenar!,memoria
32501400,？？？？,???,revisar
32501400,？？？？,???,revisar
32501400,？？？？,???,revisar
32510100,サッカーのうまいおじさんは　このさきだ！,,sin_pareja
32510120,特訓だ！！雷門グラウンドへ行こう！,¡Ve al campo del Raimon para entrenar!,memoria
32510120,特訓だ！！河川敷へ行こう！,¡Ve a la ribera del río para entrenar!,memoria
32510130,？？？？,???,revisar
32510400,？？？？,???,revisar
32511400,？？？？,???,revisar
32511400,？？？？,???,revisar
32511400,？？？？,???,revisar
33003691,特訓だ！　グラウンドへ戻ろう！,,sin_traducir
33003691,カタールにくわしい人と　合宿所へ！,,sin_pareja
33003691,カタールにくわしい人と　合宿所へ！,,sin_pareja
33003691,カタールにくわしい人と　合宿所へ！,,sin_pareja
35040000,_mn,_mn,oficial
35040100,mr01b07_mn,mr01b07_mn,oficial
35040100,稲妻総合病院　中庭,Hospital,oficial
35040120,mr01i27_mn,mr01i27_mn,oficial
35040120,稲妻総合病院　３Ｆ,Hospital P2,oficial
35040140,mr01i29_mn,mr01i29_mn,oficial
35040140,稲妻総合病院　受付,Recepción hospital,oficial
35040160,mr02b02_mn,mr02b02_mn,oficial
35040160,鉄塔,Torre,oficial
35040180,mr02b03_mn,mr02b03_mn,oficial
35040180,河川敷グラウンド,Campo del río,oficial
35040200,mr02b04_mn,mr02b04_mn,oficial
35040200,河川敷,Ribera del río,oficial
35040220,mr02b05_mn,mr02b05_mn,oficial
35040220,住宅街,Calle de Mark,oficial
35040240,mr02b07_mn,mr02b07_mn,oficial
35040240,稲妻町駅　駅前,Estación Inazuma,oficial
35040260,mr02b08_mn,mr02b08_mn,oficial
35040260,商店街,Barrio de tiendas,oficial
35040280,mr02b09_mn,mr02b09_mn,oficial
35040280,商店街アーケード,Calle peatonal,oficial
35040300,mr02b10_mn,mr02b10_mn,oficial
35040300,商店街　倉庫前,Zona del almacén,oficial
35040320,mr02b11_mn,mr02b11_mn,oficial
35040320,商店街　路地裏,Calle de bares,oficial
35040340,mr02b12_mn,mr02b12_mn,oficial
35040340,商店街グラウンド,Campo barrio tiendas,oficial
35040360,mr02b13_mn,mr02b13_mn,oficial
35040360,鉄塔上,Torre - Plataforma,oficial
35040380,mr02i01_mn,mr02i01_mn,oficial
